Player,Head Movement (pixels),Stance
blurred_Copy of HR - 2023 0816 161610,23.259406699226016,good
blurred_Copy of DT - 2024 0815 140650,12.041594578792296,good
blurred_Copy of CL - 2025 0205 112002,79.63039620647382,bad
blurred_Copy of CG - 2025 0113 112022,22.20360331117452,good
blurred_Copy of DJ - 2024 1101 162837,47.92702786528704,bad
blurred_Copy of AB - 2024 0531 120531,46.04345773288535,bad
blurred_Copy of CR - 2024 0924 112055,57.48912940721924,bad
blurred_Copy of ADR- 2024 1018 145822,12.727922061357855,good
blurred_Copy of AB - 2024 1101 173843 ,49.64876634922564,bad
blurred_Copy of EE - 2024 0429 123453,5.385164807134504,good
blurred_Copy of DJ- 2024 0927 163118,83.45058418010026,bad
blurred_Copy of BS - 2024 1106 171315,26.68332812825267,good
blurred_Copy of CB - 2025 0110 153658,10.63014581273465,good
blurred_Copy of AF - 2022 1004 124208,4.123105625617661,good
blurred_Copy of CR - 2025 0108 111914,10.816653826391969,good
blurred_Copy of IA - 2022 0914 123629,34.40930106817051,good
blurred_Copy of AW - 2024 0923 125215,3.0,good
blurred_Copy of DG - 2024 1112 121829,3.605551275463989,good
blurred_Copy of AZ - 2024 0719 164145,6.0,good
blurred_Copy of CM - 2025 0110 111408,4.0,good
